APP_NAME,funsafe_math_optimizations,fno_guess_branch_probability,fno_ivopts,fno_tree_loop_optimize,fno_inline_functions,funroll_all_loops,o2,execution_time_1,execution_time_2,execution_time_3,execution_time_4,execution_time_5,code_size
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1862.55,3637.32,5189.86,6828.12,8103.98,457478
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1934.72,3207.68,5410.48,6522.05,7964.4,461574
automotive_bitcount,-funsafe-math-optimizations,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1981.27,3219.62,4892.61,6453.97,7802.76,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,X,X,X,1797.39,3242.98,4872.45,6940.92,8442.17,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,X,X,-O2,1973.59,3261.75,4944.94,6527.08,8140.08,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,X,-funroll-all-loops,X,1806.85,3125.93,4724.69,6769.02,8056.41,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,X,-funroll-all-loops,-O2,1915.87,3382.32,4929.57,6737.02,8037.12,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,-fno-inline-functions,X,X,2503.05,3346.23,5033.59,6618.55,8424.25,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,-fno-inline-functions,X,-O2,1925.23,3450.62,4941.58,6655.23,8346.19,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,X,2023.21,3344.77,4666.38,6275.18,7985.11,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,X,-fno-inline-functions,-funroll-all-loops,-O2,1857.37,3315.62,4918.39,6426.61,8218.9,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,X,X,X,1772.73,3335.29,5190.26,6557.56,8236.19,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,X,X,-O2,1607.24,3144.7,4926.7,6801.95,7961.96,457478
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,X,2017.4,3243.4,5196.09,6411.68,8292.1,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1675.85,4047.53,4841.97,6271.73,8015.6,461574
automotive_bitcount,-funsafe-math-optimizations,X,-fno-ivopts,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1741.12,3167,4751.03,6290.4,8287.75,457478
